tier,institution,office,why_and_hook,page_url,public_office_contact,status,verified_on,ref
4,University of Chicago,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,university-of-chicago
4,University of Georgia,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,university-of-georgia
4,University of Iowa,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,university-of-iowa
4,University of Michigan-Ann Arbor,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1. TRIED: Rangel/Pickering/Payne and Mitchell pages returned 403; check by hand: https://lsa.umich.edu/onsf/scholarships/global-policy/rangel-pickering-payne.html",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,university-of-michigan-ann-a
4,University of New Hampshire-Main Campus,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1. TRIED: Payne page returned 403 to automated fetch; check by hand: https://www.unh.edu/fellowships-office/resource/donald-m-payne-international-development-fellowship",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,university-of-new-hampshire-
4,University of North Carolina at Chapel Hill,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1. Mitchell page already shows the pause; do not use the Mitchell angle. Also listed in a higher tier; send one email, not two.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,university-of-north-carolina
4,University of North Georgia,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,university-of-north-georgia
4,University of Notre Dame,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,university-of-notre-dame
4,University of Pennsylvania,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1. TRIED: Payne page is behind PennKey login and could not be read: https://curf.upenn.edu/content/payne",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,university-of-pennsylvania
4,University of Portland,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,university-of-portland
4,University of Southern California,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,university-of-southern-calif
4,University of Texas at Austin,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,university-of-texas-at-austi
4,University of Virginia,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,university-of-virginia
4,Vassar College,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,vassar-college
4,Villanova University,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,villanova-university
4,Wabash College,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,wabash-college
4,Washington University in St. Louis,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,washington-university-in-st-
4,Washington and Lee University,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1. Also listed in a higher tier; send one email, not two.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,washington-and-lee-universit
4,Wellesley College,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,wellesley-college
4,Wesleyan University,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,wesleyan-university
4,Western Washington University,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,western-washington-universit
4,Williams College,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,williams-college
4,Yale University,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,yale-university
5,National Association of Fellowships Advisors (NAFA),"Association, 750+ individual members","Every fellowship office in one place. Approach about a newsletter mention or a conference resource table, never a mass email to the roster. The roster is public, so use it to find offices for Tier 4.",https://www.nafadvisors.org/membership/membership-roster/,,verified: exists,2026-09-15,nafa
6,Dickinson College,Undergraduate Admissions — gap year deferral,"Publishes a gap year deferral policy, so it answers families' 'what would they do with the year' questions. Send the counselor version in January, not now.",https://www.dickinson.edu/info/20256/apply/1087/deferral_and_gap_year,,found via search: page exists,,dickinson-college
6,Fordham University,Undergraduate Admissions — gap year deferral,"Publishes a gap year deferral policy, so it answers families' 'what would they do with the year' questions. Send the counselor version in January, not now.",https://www.fordham.edu/undergraduate-admission/apply/how-to-apply/request-for-deferral-to-future-term-or-gap-year/,,found via search: page exists,,fordham-university
6,Georgia Institute of Technology,Undergraduate Admissions — gap year deferral,"Publishes a gap year deferral policy, so it answers families' 'what would they do with the year' questions. Send the counselor version in January, not now.",https://admission.gatech.edu/first-year/defer-enrollment-gap-year,,found via search: page exists,,georgia-institute-of-tec
6,Middlebury College,Undergraduate Admissions — gap year deferral,"Publishes a gap year deferral policy, so it answers families' 'what would they do with the year' questions. Send the counselor version in January, not now.",http://www.middlebury.edu/admissions/apply/gapyear,,found via search: page exists,,middlebury-college
6,University of Oregon,Undergraduate Admissions — gap year deferral,"Publishes a gap year deferral policy, so it answers families' 'what would they do with the year' questions. Send the counselor version in January, not now.",https://admissions.uoregon.edu/gap-year,,found via search: page exists,,university-of-oregon
6,Washington and Lee University,Undergraduate Admissions — gap year deferral,"Publishes a gap year deferral policy, so it answers families' 'what would they do with the year' questions. Send the counselor version in January, not now.",https://www.wlu.edu/admissions/apply/the-gap-year,,found via search: page exists,,washington-and-lee-unive
